timestamp,loan_id,action,details
2026-03-11T04:42:39.801198,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': []}, {'doc_type': 'Bank Statement', 'errors': []}, {'doc_type': 'Closing Documents', 'errors': []}, {'doc_type': 'Credit Report', 'errors': []}, {'doc_type': 'Disclosure', 'errors': []}, {'doc_type': 'Income Verification', 'errors': []}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing']}, {'doc_type': 'Tax Return', 'errors': []}]"
2026-03-11T15:47:37.289470,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T15:47:37.397963,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T15:52:31.840825,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T20:26:35.423677,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T20:26:37.261072,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T21:03:29.602562,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T21:03:31.641927,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T21:44:45.010867,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
2026-03-11T21:45:06.080771,validation,system,1,"[{'doc_type': 'Appraisal Report', 'errors': ['Property address missing']}, {'doc_type': 'Bank Statement', 'errors': ['Account holder missing', 'Signature missing']}, {'doc_type': 'Closing Documents', 'errors': ['Property address missing', 'Buyer missing', 'Seller missing', 'Signature missing']}, {'doc_type': 'Credit Report', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Disclosure', 'errors': ['Disclosure date missing', 'Signature missing']}, {'doc_type': 'Income Verification', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Loan Application', 'errors': ['Applicant name missing', 'Signature missing']}, {'doc_type': 'Tax Return', 'errors': ['Taxpayer name missing', 'Signature missing']}]"
